id,name,unit,price,category_name,supplier_name,supplier_phone,order_date,customer_name,customer_phone,shipper_name,shipper_phone,employee_name
131,Pavlova,"32 - 500 g boxes",17.45,Confections,"Pavlova, Ltd.","(03) 444-2343",1996-09-03,LILA-Supermercado,"Carlos Gonzalez","Speedy Express","(503) 555-9831","Michael Suyama"
132,Gudbrandsdalsost,"10 kg pkg.",36,"Dairy Products","Norske Meierier",(0)2-953010,1996-09-03,LILA-Supermercado,"Carlos Gonzalez","Speedy Express","(503) 555-9831","Michael Suyama"
133,"Chartreuse verte","750 cc per bottle",18,Beverages,"Aux joyeux ecclesiastiques","(1) 03.83.00.68",1996-09-04,"Blondel pere et fils","Frederique Citeaux","United Package","(503) 555-3199","Steven Buchanan"
134,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-09-04,"Blondel pere et fils","Frederique Citeaux","United Package","(503) 555-3199","Steven Buchanan"
135,Chang,"24 - 12 oz bottles",19,Beverages,"Exotic Liquid","(171) 555-2222",1996-09-05,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Michael Suyama"
136,"Inlagd Sill","24 - 250 g jars",19,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-09-05,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Michael Suyama"
137,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-09-05,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Michael Suyama"
138,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-09-05,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Michael Suyama"
139,"Teatime Chocolate Biscuits","10 boxes x 12 pieces",9.2,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-09-06,"Ricardo Adocicados","Janete Limeira","United Package","(503) 555-3199","Margaret Peacock"
140,"Outback Lager","24 - 355 ml bottles",15,Beverages,"Pavlova, Ltd.","(03) 444-2343",1996-09-06,"Ricardo Adocicados","Janete Limeira","United Package","(503) 555-3199","Margaret Peacock"
141,"Louisiana Hot Spiced Okra","24 - 8 oz jars",17,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-09-09,"Magazzini Alimentari Riuniti","Giovanni Rovelli","United Package","(503) 555-3199","Andrew Fuller"
142,"Scottish Longbreads","10 boxes x 8 pieces",12.5,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-09-09,"Magazzini Alimentari Riuniti","Giovanni Rovelli","United Package","(503) 555-3199","Andrew Fuller"
143,"Boston Crab Meat","24 - 4 oz tins",18.4,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-09-09,"Die Wandernde Kuh","Rita Muller","United Package","(503) 555-3199","Laura Callahan"
144,"Gnocchi di nonna Alice","24 - 250 g pkgs.",38,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-09-09,"Die Wandernde Kuh","Rita Muller","United Package","(503) 555-3199","Laura Callahan"
145,"Alice Mutton","20 - 1 kg tins",39,Meat/Poultry,"Pavlova, Ltd.","(03) 444-2343",1996-09-10,"Supremes delices","Pascale Cartrain","United Package","(503) 555-3199","Margaret Peacock"
146,"Rossle Sauerkraut","25 - 825 g cans",45.6,Produce,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-09-10,"Supremes delices","Pascale Cartrain","United Package","(503) 555-3199","Margaret Peacock"
147,"Ipoh Coffee","16 - 500 g tins",46,Beverages,"Leka Trading",555-8787,1996-09-10,"Supremes delices","Pascale Cartrain","United Package","(503) 555-3199","Margaret Peacock"
148,"Boston Crab Meat","24 - 4 oz tins",18.4,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-09-11,"Godos Cocina Tipica","Jose Pedro Freyre","United Package","(503) 555-3199","Robert King"
149,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-09-11,"Godos Cocina Tipica","Jose Pedro Freyre","United Package","(503) 555-3199","Robert King"
150,"Scottish Longbreads","10 boxes x 8 pieces",12.5,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-09-11,"Godos Cocina Tipica","Jose Pedro Freyre","United Package","(503) 555-3199","Robert King"
151,Maxilaku,"24 - 50 g pkgs.",20,Confections,"Karkki Oy","(953) 10956",1996-09-12,"Tortuga Restaurante","Miguel Angel Paolino","United Package","(503) 555-3199","Nancy Davolio"
152,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-09-12,"Tortuga Restaurante","Miguel Angel Paolino","United Package","(503) 555-3199","Nancy Davolio"
153,Flotemysost,"10 - 500 g pkgs.",21.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-09-12,"Tortuga Restaurante","Miguel Angel Paolino","United Package","(503) 555-3199","Nancy Davolio"
154,"Carnarvon Tigers","16 kg pkg.",62.5,Seafood,"Pavlova, Ltd.","(03) 444-2343",1996-09-13,"Old World Delicatessen","Rene Phillips","Federal Shipping","(503) 555-9931","Laura Callahan"
155,"Thuringer Rostbratwurst","50 bags x 30 sausgs.",123.79,Meat/Poultry,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-09-13,"Old World Delicatessen","Rene Phillips","Federal Shipping","(503) 555-9931","Laura Callahan"
156,"Chartreuse verte","750 cc per bottle",18,Beverages,"Aux joyeux ecclesiastiques","(1) 03.83.00.68",1996-09-13,"Old World Delicatessen","Rene Phillips","Federal Shipping","(503) 555-9931","Laura Callahan"
157,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713",1996-09-16,"Romero y tomillo","Alejandra Camino","Federal Shipping","(503) 555-9931","Nancy Davolio"
158,"Perth Pasties","48 pieces",32.8,Meat/Poultry,"Gday, Mate","(02) 555-5914",1996-09-16,"Romero y tomillo","Alejandra Camino","Federal Shipping","(503) 555-9931","Nancy Davolio"
159,Tourtiere,"16 pies",7.45,Meat/Poultry,"Ma Maison","(514) 555-9022",1996-09-16,"Romero y tomillo","Alejandra Camino","Federal Shipping","(503) 555-9931","Nancy Davolio"
160,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-09-17,"Lonesome Pine Restaurant","Fran Wilson","United Package","(503) 555-3199","Andrew Fuller"
161,"Scottish Longbreads","10 boxes x 8 pieces",12.5,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-09-17,"Lonesome Pine Restaurant","Fran Wilson","United Package","(503) 555-3199","Andrew Fuller"
162,Gudbrandsdalsost,"10 kg pkg.",36,"Dairy Products","Norske Meierier",(0)2-953010,1996-09-18,"Ana Trujillo Emparedados y helados","Ana Trujillo","Federal Shipping","(503) 555-9931","Robert King"
163,"Outback Lager","24 - 355 ml bottles",15,Beverages,"Pavlova, Ltd.","(03) 444-2343",1996-09-18,"Ana Trujillo Emparedados y helados","Ana Trujillo","Federal Shipping","(503) 555-9931","Robert King"
164,"Chef Antons Cajun Seasoning","48 - 6 oz jars",22,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-09-19,"Hungry Owl All-Night Grocers","Patricia McKenna","Speedy Express","(503) 555-9831","Janet Leverling"
165,"Grandmas Boysenberry Spread","12 - 8 oz jars",25,Condiments,"Grandma Kellys Homestead","(313) 555-5735",1996-09-19,"Hungry Owl All-Night Grocers","Patricia McKenna","Speedy Express","(503) 555-9831","Janet Leverling"
166,"Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.",14,Grains/Cereals,"Leka Trading",555-8787,1996-09-19,"Hungry Owl All-Night Grocers","Patricia McKenna","Speedy Express","(503) 555-9831","Janet Leverling"
167,"Ipoh Coffee","16 - 500 g tins",46,Beverages,"Leka Trading",555-8787,1996-09-19,"Hungry Owl All-Night Grocers","Patricia McKenna","Speedy Express","(503) 555-9831","Janet Leverling"
168,Flotemysost,"10 - 500 g pkgs.",21.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-09-19,"Hungry Owl All-Night Grocers","Patricia McKenna","Speedy Express","(503) 555-9831","Janet Leverling"
169,Pavlova,"32 - 500 g boxes",17.45,Confections,"Pavlova, Ltd.","(03) 444-2343",1996-09-20,"The Big Cheese","Liz Nixon","United Package","(503) 555-3199","Laura Callahan"
170,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-09-20,"The Big Cheese","Liz Nixon","United Package","(503) 555-3199","Laura Callahan"
171,"Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.",14,Grains/Cereals,"Leka Trading",555-8787,1996-09-20,"Du monde entier","Janine Labrune","Federal Shipping","(503) 555-9931","Nancy Davolio"
172,Gudbrandsdalsost,"10 kg pkg.",36,"Dairy Products","Norske Meierier",(0)2-953010,1996-09-20,"Du monde entier","Janine Labrune","Federal Shipping","(503) 555-9931","Nancy Davolio"
173,"Rossle Sauerkraut","25 - 825 g cans",45.6,Produce,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-09-23,"Die Wandernde Kuh","Rita Muller","United Package","(503) 555-3199","Andrew Fuller"
174,"Ipoh Coffee","16 - 500 g tins",46,Beverages,"Leka Trading",555-8787,1996-09-23,"Die Wandernde Kuh","Rita Muller","United Package","(503) 555-3199","Andrew Fuller"
175,"Perth Pasties","48 pieces",32.8,Meat/Poultry,"Gday, Mate","(02) 555-5914",1996-09-23,"Die Wandernde Kuh","Rita Muller","United Package","(503) 555-3199","Andrew Fuller"
176,"Rhonbrau Klosterbier","24 - 0.5 l bottles",7.75,Beverages,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-09-23,"Die Wandernde Kuh","Rita Muller","United Package","(503) 555-3199","Andrew Fuller"
177,"Inlagd Sill","24 - 250 g jars",19,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-09-24,QUICK-Stop,"Horst Kloss","United Package","(503) 555-3199","Andrew Fuller"
178,"Mascarpone Fabioli","24 - 200 g pkgs.",32,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-09-25,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Nancy Davolio"
179,"Escargots de Bourgogne","24 pieces",13.25,Seafood,"Escargots Nouveaux",85.57.00.07,1996-09-25,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Nancy Davolio"
180,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-09-25,"Rattlesnake Canyon Grocery","Paula Wilson","United Package","(503) 555-3199","Nancy Davolio"
181,"Sasquatch Ale","24 - 12 oz bottles",14,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-09-26,"Island Trading","Helen Bennett","United Package","(503) 555-3199","Margaret Peacock"
182,"Outback Lager","24 - 355 ml bottles",15,Beverages,"Pavlova, Ltd.","(03) 444-2343",1996-09-26,"Island Trading","Helen Bennett","United Package","(503) 555-3199","Margaret Peacock"
183,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-09-27,"Rattlesnake Canyon Grocery","Paula Wilson","Federal Shipping","(503) 555-9931","Nancy Davolio"
184,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-09-27,"Rattlesnake Canyon Grocery","Paula Wilson","Federal Shipping","(503) 555-9931","Nancy Davolio"
185,Chais,"10 boxes x 20 bags",18,Beverages,"Exotic Liquid","(171) 555-2222",1996-09-30,"Lonesome Pine Restaurant","Fran Wilson","Speedy Express","(503) 555-9831","Michael Suyama"
186,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-10-01,"Island Trading","Helen Bennett","United Package","(503) 555-3199","Laura Callahan"
187,Lakkalikoori,"500 ml",18,Beverages,"Karkki Oy","(953) 10956",1996-10-01,"Island Trading","Helen Bennett","United Package","(503) 555-3199","Laura Callahan"
188,"Alice Mutton","20 - 1 kg tins",39,Meat/Poultry,"Pavlova, Ltd.","(03) 444-2343",1996-10-02,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Robert King"
189,"Rossle Sauerkraut","25 - 825 g cans",45.6,Produce,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-10-02,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Robert King"
190,Lakkalikoori,"500 ml",18,Beverages,"Karkki Oy","(953) 10956",1996-10-02,"Tortuga Restaurante","Miguel Angel Paolino","Federal Shipping","(503) 555-9931","Robert King"
191,Flotemysost,"10 - 500 g pkgs.",21.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-10-03,"Wartian Herkku","Pirkko Koskitalo","Federal Shipping","(503) 555-9931","Steven Buchanan"
192,"Steeleye Stout","24 - 12 oz bottles",18,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-10-03,"Island Trading","Helen Bennett","United Package","(503) 555-3199","Janet Leverling"
193,"Filo Mix","16 - 2 kg boxes",7,Grains/Cereals,"Gday, Mate","(02) 555-5914",1996-10-04,"Pericles Comidas clasicas","Guillermo Fernandez","Federal Shipping","(503) 555-9931","Robert King"
194,"Genen Shouyu","24 - 250 ml bottles",15.5,Condiments,Mayumis,"(06) 431-7877",1996-10-07,"Koniglich Essen","Philip Cramer","Speedy Express","(503) 555-9831","Margaret Peacock"
195,"NuNuCa Nuss-Nougat-Creme","20 - 450 g glasses",14,Confections,"Heli Susswaren GmbH and Co. KG","(010) 9984510",1996-10-07,"Koniglich Essen","Philip Cramer","Speedy Express","(503) 555-9831","Margaret Peacock"
196,"Chartreuse verte","750 cc per bottle",18,Beverages,"Aux joyeux ecclesiastiques","(1) 03.83.00.68",1996-10-07,"Koniglich Essen","Philip Cramer","Speedy Express","(503) 555-9831","Margaret Peacock"
197,Pavlova,"32 - 500 g boxes",17.45,Confections,"Pavlova, Ltd.","(03) 444-2343",1996-10-08,"Save-a-lot Markets","Jose Pavarotti","Speedy Express","(503) 555-9831","Anne Dodsworth"
198,"Steeleye Stout","24 - 12 oz bottles",18,Beverages,"Bigfoot Breweries","(503) 555-9931",1996-10-08,"Save-a-lot Markets","Jose Pavarotti","Speedy Express","(503) 555-9831","Anne Dodsworth"
199,Spegesild,"4 - 450 g glasses",12,Seafood,Lyngbysild,43844108,1996-10-08,"Save-a-lot Markets","Jose Pavarotti","Speedy Express","(503) 555-9831","Anne Dodsworth"
200,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-10-08,"Save-a-lot Markets","Jose Pavarotti","Speedy Express","(503) 555-9831","Anne Dodsworth"
201,Vegie-spread,"15 - 625 g jars",43.9,Condiments,"Pavlova, Ltd.","(03) 444-2343",1996-10-08,"Save-a-lot Markets","Jose Pavarotti","Speedy Express","(503) 555-9831","Anne Dodsworth"
202,"Grandmas Boysenberry Spread","12 - 8 oz jars",25,Condiments,"Grandma Kellys Homestead","(313) 555-5735",1996-10-09,"Koniglich Essen","Philip Cramer","Federal Shipping","(503) 555-9931","Nancy Davolio"
203,Konbu,"2 kg box",6,Seafood,Mayumis,"(06) 431-7877",1996-10-09,"Koniglich Essen","Philip Cramer","Federal Shipping","(503) 555-9931","Nancy Davolio"
204,Tofu,"40 - 100 g pkgs.",23.25,Produce,Mayumis,"(06) 431-7877",1996-10-09,"Koniglich Essen","Philip Cramer","Federal Shipping","(503) 555-9931","Nancy Davolio"
205,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-10-09,"Koniglich Essen","Philip Cramer","Federal Shipping","(503) 555-9931","Nancy Davolio"
206,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-10-09,"Koniglich Essen","Philip Cramer","Federal Shipping","(503) 555-9931","Nancy Davolio"
207,"Chef Antons Cajun Seasoning","48 - 6 oz jars",22,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-10-10,"Bolido Comidas preparadas","Martin Sommer","United Package","(503) 555-3199","Margaret Peacock"
208,"Ravioli Angelo","24 - 250 g pkgs.",19.5,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-10-10,"Bolido Comidas preparadas","Martin Sommer","United Package","(503) 555-3199","Margaret Peacock"
209,"Rhonbrau Klosterbier","24 - 0.5 l bottles",7.75,Beverages,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-10-10,"Bolido Comidas preparadas","Martin Sommer","United Package","(503) 555-3199","Margaret Peacock"
210,Chang,"24 - 12 oz bottles",19,Beverages,"Exotic Liquid","(171) 555-2222",1996-10-11,"Folk och fa HB","Maria Larsson","Speedy Express","(503) 555-9831","Andrew Fuller"
211,"Queso Cabrales","1 kg pkg.",21,"Dairy Products","Cooperativa de Quesos Las Cabras","(98) 598 76 54",1996-10-11,"Folk och fa HB","Maria Larsson","Speedy Express","(503) 555-9831","Andrew Fuller"
212,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713",1996-10-11,"Folk och fa HB","Maria Larsson","Speedy Express","(503) 555-9831","Andrew Fuller"
213,"Escargots de Bourgogne","24 pieces",13.25,Seafood,"Escargots Nouveaux",85.57.00.07,1996-10-11,"Folk och fa HB","Maria Larsson","Speedy Express","(503) 555-9831","Andrew Fuller"
214,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-10-14,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Federal Shipping","(503) 555-9931","Margaret Peacock"
215,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-10-14,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Federal Shipping","(503) 555-9931","Margaret Peacock"
216,"Scottish Longbreads","10 boxes x 8 pieces",12.5,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-10-14,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Federal Shipping","(503) 555-9931","Margaret Peacock"
217,"Teatime Chocolate Biscuits","10 boxes x 12 pieces",9.2,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-10-15,"Split Rail Beer & Ale","Art Braunschweiger","United Package","(503) 555-3199","Margaret Peacock"
218,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713",1996-10-15,"Split Rail Beer & Ale","Art Braunschweiger","United Package","(503) 555-3199","Margaret Peacock"
219,"Cote de Blaye","12 - 75 cl bottles",263.5,Beverages,"Aux joyeux ecclesiastiques","(1) 03.83.00.68",1996-10-15,"Split Rail Beer & Ale","Art Braunschweiger","United Package","(503) 555-3199","Margaret Peacock"
220,"Gnocchi di nonna Alice","24 - 250 g pkgs.",38,Grains/Cereals,"Pasta Buttini s.r.l.","(089) 6547665",1996-10-15,"Split Rail Beer & Ale","Art Braunschweiger","United Package","(503) 555-3199","Margaret Peacock"
221,"Gumbar Gummibarchen","100 - 250 g bags",31.23,Confections,"Heli Susswaren GmbH and Co. KG","(010) 9984510",1996-10-16,LILA-Supermercado,"Carlos Gonzalez","Speedy Express","(503) 555-9831","Janet Leverling"
222,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-10-16,LILA-Supermercado,"Carlos Gonzalez","Speedy Express","(503) 555-9831","Janet Leverling"
223,Tourtiere,"16 pies",7.45,Meat/Poultry,"Ma Maison","(514) 555-9022",1996-10-16,"Bon app","Laurence Lebihans","Speedy Express","(503) 555-9831","Anne Dodsworth"
224,"Carnarvon Tigers","16 kg pkg.",62.5,Seafood,"Pavlova, Ltd.","(03) 444-2343",1996-10-17,"Mere Paillarde","Jean Fresniere","United Package","(503) 555-3199","Janet Leverling"
225,"Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.",14,Grains/Cereals,"Leka Trading",555-8787,1996-10-17,"Mere Paillarde","Jean Fresniere","United Package","(503) 555-3199","Janet Leverling"
226,"Zaanse koeken","10 - 4 oz boxes",9.5,Confections,"Zaanse Snoepfabriek","(12345) 1212",1996-10-17,"Mere Paillarde","Jean Fresniere","United Package","(503) 555-3199","Janet Leverling"
227,Tofu,"40 - 100 g pkgs.",23.25,Produce,Mayumis,"(06) 431-7877",1996-10-18,"Wartian Herkku","Pirkko Koskitalo","Federal Shipping","(503) 555-9931","Steven Buchanan"
228,"Sir Rodneys Scones","24 pkgs. x 4 pieces",10,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-10-18,"Wartian Herkku","Pirkko Koskitalo","Federal Shipping","(503) 555-9931","Steven Buchanan"
229,Flotemysost,"10 - 500 g pkgs.",21.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-10-18,"Wartian Herkku","Pirkko Koskitalo","Federal Shipping","(503) 555-9931","Steven Buchanan"
230,"Filo Mix","16 - 2 kg boxes",7,Grains/Cereals,"Gday, Mate","(02) 555-5914",1996-10-21,"Victuailles en stock","Mary Saveley","United Package","(503) 555-3199","Laura Callahan"
231,"Scottish Longbreads","10 boxes x 8 pieces",12.5,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-10-21,"Victuailles en stock","Mary Saveley","United Package","(503) 555-3199","Laura Callahan"
232,Chang,"24 - 12 oz bottles",19,Beverages,"Exotic Liquid","(171) 555-2222",1996-10-22,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Robert King"
233,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-10-22,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Robert King"
234,"Mascarpone Fabioli","24 - 200 g pkgs.",32,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-10-22,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Robert King"
235,"Manjimup Dried Apples","50 - 300 g pkgs.",53,Produce,"Gday, Mate","(02) 555-5914",1996-10-22,"Hungry Owl All-Night Grocers","Patricia McKenna","United Package","(503) 555-3199","Robert King"
236,"Chef Antons Cajun Seasoning","48 - 6 oz jars",22,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-10-23,"Princesa Isabel Vinhoss","Isabel de Castro","United Package","(503) 555-3199","Robert King"
237,Tunnbrod,"12 - 250 g pkgs.",9,Grains/Cereals,"PB Knackebrod AB","031-987 65 43",1996-10-24,Frankenversand,"Peter Franken","Federal Shipping","(503) 555-9931","Margaret Peacock"
238,"Gumbar Gummibarchen","100 - 250 g bags",31.23,Confections,"Heli Susswaren GmbH and Co. KG","(010) 9984510",1996-10-24,Frankenversand,"Peter Franken","Federal Shipping","(503) 555-9931","Margaret Peacock"
239,"Inlagd Sill","24 - 250 g jars",19,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-10-24,Frankenversand,"Peter Franken","Federal Shipping","(503) 555-9931","Margaret Peacock"
240,"Gravad lax","12 - 500 g pkgs.",26,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-10-24,Frankenversand,"Peter Franken","Federal Shipping","(503) 555-9931","Margaret Peacock"
241,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-10-24,Frankenversand,"Peter Franken","Federal Shipping","(503) 555-9931","Margaret Peacock"
242,"Alice Mutton","20 - 1 kg tins",39,Meat/Poultry,"Pavlova, Ltd.","(03) 444-2343",1996-10-25,"Old World Delicatessen","Rene Phillips","Federal Shipping","(503) 555-9931","Margaret Peacock"
243,"Nord-Ost Matjeshering","10 - 200 g glasses",25.89,Seafood,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713",1996-10-25,"Old World Delicatessen","Rene Phillips","Federal Shipping","(503) 555-9931","Margaret Peacock"
244,"Chef Antons Cajun Seasoning","48 - 6 oz jars",22,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-10-28,"Mere Paillarde","Jean Fresniere","United Package","(503) 555-3199","Andrew Fuller"
245,"Alice Mutton","20 - 1 kg tins",39,Meat/Poultry,"Pavlova, Ltd.","(03) 444-2343",1996-10-28,"Mere Paillarde","Jean Fresniere","United Package","(503) 555-3199","Andrew Fuller"
246,"Tarte au sucre","48 pies",49.3,Confections,"Forets derables","(514) 555-2955",1996-10-28,"Mere Paillarde","Jean Fresniere","United Package","(503) 555-3199","Andrew Fuller"
247,"Carnarvon Tigers","16 kg pkg.",62.5,Seafood,"Pavlova, Ltd.","(03) 444-2343",1996-10-29,"Bon app","Laurence Lebihans","Federal Shipping","(503) 555-9931","Nancy Davolio"
248,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,Seafood,"New England Seafood Cannery","(617) 555-3267",1996-10-29,"Bon app","Laurence Lebihans","Federal Shipping","(503) 555-9931","Nancy Davolio"
249,"Ipoh Coffee","16 - 500 g tins",46,Beverages,"Leka Trading",555-8787,1996-10-29,"Bon app","Laurence Lebihans","Federal Shipping","(503) 555-9931","Nancy Davolio"
250,Geitost,"500 g",2.5,"Dairy Products","Norske Meierier",(0)2-953010,1996-10-29,"Simons bistro","Jytte Petersen","Federal Shipping","(503) 555-9931","Robert King"
251,"Raclette Courdavault","5 kg pkg.",55,"Dairy Products","Gai paturage",38.76.98.06,1996-10-29,"Simons bistro","Jytte Petersen","Federal Shipping","(503) 555-9931","Robert King"
252,Chang,"24 - 12 oz bottles",19,Beverages,"Exotic Liquid","(171) 555-2222",1996-10-30,Frankenversand,"Peter Franken","United Package","(503) 555-3199","Margaret Peacock"
253,"Gorgonzola Telino","12 - 100 g pkgs",12.5,"Dairy Products","Formaggi Fortini s.r.l.","(0544) 60323",1996-10-30,Frankenversand,"Peter Franken","United Package","(503) 555-3199","Margaret Peacock"
254,"Inlagd Sill","24 - 250 g jars",19,Seafood,"Svensk Sjofoda AB","08-123 45 67",1996-10-30,Frankenversand,"Peter Franken","United Package","(503) 555-3199","Margaret Peacock"
255,"Pate chinois","24 boxes x 2 pies",24,Meat/Poultry,"Ma Maison","(514) 555-9022",1996-10-30,Frankenversand,"Peter Franken","United Package","(503) 555-3199","Margaret Peacock"
256,"Wimmers gute Semmelknodel","20 bags x 4 pieces",33.25,Grains/Cereals,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755",1996-10-31,"Lehmanns Marktstand","Renate Messner","Speedy Express","(503) 555-9831","Margaret Peacock"
257,"Scottish Longbreads","10 boxes x 8 pieces",12.5,Confections,"Specialty Biscuits, Ltd.","(161) 555-4448",1996-10-31,"Lehmanns Marktstand","Renate Messner","Speedy Express","(503) 555-9831","Margaret Peacock"
258,Lakkalikoori,"500 ml",18,Beverages,"Karkki Oy","(953) 10956",1996-10-31,"Lehmanns Marktstand","Renate Messner","Speedy Express","(503) 555-9831","Margaret Peacock"
259,"Chef Antons Cajun Seasoning","48 - 6 oz jars",22,Condiments,"New Orleans Cajun Delights","(100) 555-4822",1996-11-01,"White Clover Markets","Karl Jablonski","United Package","(503) 555-3199","Margaret Peacock"
260,"Northwoods Cranberry Sauce","12 - 12 oz jars",40,Condiments,"Grandma Kellys Homestead","(313) 555-5735",1996-11-01,"White Clover Markets","Karl Jablonski","United Package","(503) 555-3199","Margaret Peacock"
